img_name,leaf_weight
001.png,40.92495
002.png,170.25478
003.png,33.602177
004.png,73.08023
005.png,66.972496
006.png,72.79833
007.png,63.352463
008.png,50.77395
009.png,72.28339
010.png,93.68643
011.png,62.852547
012.png,72.40436
013.png,76.21146
014.png,32.03801
015.png,71.99187
016.png,55.018322
017.png,88.6732
018.png,35.089603
019.png,62.62316
020.png,185.13954
021.png,29.883879
022.png,70.6666
023.png,65.77665
024.jpg,67.92897
025.png,42.263653
026.png,99.5101
027.png,88.15672
028.png,29.154346
029.png,92.69821
030.png,68.2599
031.png,86.398834
032.png,73.42664
033.png,69.07393
034.png,86.87226
035.png,69.67636
036.png,96.24547
037.png,79.72746
038.png,87.63982
039.png,94.30162
040.png,35.010715
041.png,90.19841
042.png,95.01757
043.png,102.83738
044.png,25.315138
045.png,59.987743
046.png,32.142517
047.png,48.03207
048.png,32.61345
049.jpg,87.67935
050.png,80.15038
051.jpg,262.0127
052.png,43.37182
053.png,88.58333
054.png,77.6621
055.png,72.08695
056.png,68.43648
057.png,71.45668
058.png,35.375076
059.png,79.644745
060.png,51.26256
061.png,74.97982
062.png,74.67452
063.png,88.83337
064.png,69.97952
065.png,87.68198
066.png,75.59291
067.png,76.01332
068.png,71.64916
069.png,87.45227
070.png,72.075905
071.png,107.97741
072.png,70.192
073.png,89.13402
074.png,97.55982
075.png,70.33689
076.jpg,110.81939
077.png,66.36502
078.png,50.112545
079.png,51.461918
080.png,73.53114
081.png,53.58949
082.png,60.588825
083.png,73.02587
084.png,72.54777
085.png,66.588196
086.png,75.044426
087.png,73.89878
088.png,42.81787
089.png,81.11779
090.png,72.56152
091.png,94.515686
092.png,65.00979
093.png,86.33504
094.png,81.29556
095.png,35.66542
096.png,74.17052
097.jpg,61.770782
098.png,86.34692
099.png,71.60696
100.png,88.89542
101.png,143.26994
102.png,70.25716
103.png,39.899574
104.png,61.03527
105.png,68.004715
106.png,84.970566
107.png,46.42983
108.png,33.9056
109.png,62.554432
110.png,68.536194
111.jpg,61.883198
112.png,67.2558
113.png,73.03594
114.png,82.31237
115.png,84.82256
116.png,70.97567
117.png,198.69516
118.png,46.505016
119.png,73.203575
120.png,99.01937
121.jpg,125.06469
122.png,74.783775
123.png,69.79646
124.png,29.326729
125.png,26.976694
126.png,84.5795
127.png,35.888206
128.png,74.96653
129.jpg,46.923367
130.png,70.61501
131.png,73.081566
132.png,264.98294
133.png,72.06064
134.png,144.16899
135.png,101.92792
136.jpg,67.29514
137.png,60.895557
138.png,221.6131
139.png,31.915154
140.png,73.41374
141.png,38.44467
142.png,82.09349
143.png,62.928116
144.png,57.83018
145.png,71.532036
146.png,64.254906
147.png,76.31637
148.png,91.43323
149.png,81.96002
150.png,72.85501
151.jpg,40.926872
152.png,71.609985
153.png,75.065384
154.png,76.01428
155.png,74.94645
156.png,72.15698
157.png,93.45738
158.png,31.686068
159.png,70.95953
160.png,32.29973
161.png,80.97985
162.png,60.007755
163.png,59.539352
164.jpg,52.902245
165.jpg,47.38693
166.png,69.198906
167.png,76.10364
168.png,51.113293
169.png,68.78294
170.png,79.27591
171.png,31.937397
172.png,30.768862
173.png,73.792854
174.png,73.7907
175.jpg,43.463894
176.png,85.04822
177.png,92.70236
178.png,64.30594
179.png,73.18099
180.png,78.44499
181.png,81.26073
182.png,72.28311
183.jpg,71.46001
184.png,62.214954
185.png,68.74247
186.png,82.26483
187.png,82.407684
188.png,223.38885
189.png,33.22834
190.png,27.102724
191.png,72.71177
192.png,93.019325
193.png,52.642284
194.png,70.67936
195.png,73.63807
196.png,78.76175
197.png,74.05958
198.png,38.526848
199.png,127.527954
200.png,31.204067
201.png,33.694473
202.png,124.85723
203.png,68.31658
204.png,71.796234
205.png,74.260124
206.png,69.15918
207.png,73.25138
208.png,64.25728
209.png,72.278984
210.png,39.896523
211.png,26.231365
212.png,94.99227
213.png,44.549923
214.png,83.564674
215.png,71.806335
216.png,31.34199
217.png,72.631805
218.png,87.65584
219.png,57.905235
220.png,93.54367
221.png,76.12685
222.png,99.12097
223.png,28.603037
224.png,73.62327
225.png,74.869415
226.png,94.6219
227.png,29.787928
228.png,76.95918
229.png,59.833088
230.png,77.33905
231.png,60.94235
232.png,73.016975
233.png,68.78394
234.png,182.27106
235.png,68.57333
236.png,95.82213
237.png,66.883
238.png,62.108017
239.jpg,40.974792
240.jpg,51.07729
241.png,165.7851
242.jpg,47.45569
243.png,27.609678
244.png,77.27435
245.png,68.01953
246.png,65.9455
247.jpg,73.56891
248.png,92.960144
249.png,73.59367
250.png,35.16518
251.png,71.72542
252.png,37.696384
253.png,31.89644
254.png,80.685616
255.png,76.40841
256.png,39.97181
257.png,37.808044
258.png,62.16872
259.png,26.605
260.png,104.25267
261.png,70.65889
262.png,95.53864
263.png,91.746445
264.png,75.459915
265.png,30.826498
266.png,76.28024
267.png,31.113817
268.png,60.633865
269.png,66.06253
270.png,68.06142
271.png,78.25461
272.png,46.905712
273.png,85.42061
274.png,92.68007
275.png,67.32152
276.jpg,272.92316
277.png,84.02075
278.png,70.48396
279.png,64.84625
280.png,212.12263
281.png,23.779572
282.png,63.845924
283.png,66.75291
284.png,78.6893
285.png,123.494225
286.png,80.89675
287.png,117.56483
288.png,178.67108
289.png,72.68674
290.png,58.75555
291.png,72.84821
292.png,26.2878
293.png,70.06626
294.png,84.11702
295.png,82.72561
296.png,86.59514
297.png,72.80346
298.png,39.00332
299.png,78.86827
300.png,82.86101
301.png,32.46053
302.png,65.28601
303.png,71.84349
304.jpg,45.759678
305.png,51.8898
306.png,84.64163
307.png,73.21579
308.png,76.54072
309.jpg,68.45426
310.png,74.4813
311.png,231.07886
312.png,32.764355
313.jpg,207.36768
314.png,129.29108
315.png,80.611435
316.png,75.838104
317.png,68.45505
318.png,103.28666
319.png,63.12791
320.png,85.45575
321.png,70.46562
322.png,83.32184
323.png,69.61017
324.png,66.25278
325.png,91.88217
326.png,77.1103
327.png,80.358986
328.png,84.38656
329.png,32.410217
330.png,75.65887
331.png,65.79054
332.png,60.34352
333.jpg,165.79642
334.png,99.77818
335.png,75.551315
336.png,26.750126
337.png,80.21463
338.png,72.09918
339.png,53.64322
340.png,43.17907
341.png,34.494205
342.png,101.2679
343.png,94.17591
344.png,63.530556
345.png,82.233604
346.png,251.39566
347.png,74.279144
348.png,64.61013
349.png,203.07321
350.jpg,56.47354
351.png,103.02812
352.png,95.14363
353.png,74.65456
354.png,73.34037
355.png,85.616005
356.png,75.33424
357.png,77.0478
358.png,32.168552
359.png,66.05677
360.png,84.82813
361.png,65.66933
362.png,95.05466
363.png,34.9904
364.png,74.031944
365.png,76.59121
366.png,227.51167
367.png,125.24781
368.png,51.101845
369.png,33.27243
370.png,78.147156
371.png,70.057274
372.png,89.533104
373.png,73.86458
374.png,245.34763
375.png,134.90347
376.png,104.51242
377.png,49.206524
378.png,29.287233
379.jpg,89.48389
380.png,25.94125
381.png,76.50096
382.png,75.813484
383.png,76.760254
384.png,90.23387
385.png,257.18222
386.png,71.01305
387.jpg,42.21118
388.png,60.79604
389.png,49.832027
390.png,66.22572
391.png,75.9978
392.png,76.68239
393.png,64.60995
394.png,114.12593
395.jpg,80.16758
396.png,70.3716
397.png,23.066881
398.png,72.81819
399.png,85.117195
400.png,74.697495
401.png,77.17866
402.png,62.684875
403.png,65.054306
404.png,71.46847
405.png,71.07237
406.png,71.799545
407.png,29.695911
408.png,45.42617
409.png,58.925415
410.png,65.81129
411.png,46.309017
412.png,71.91649
413.png,245.65399
414.png,77.53464
415.png,85.89237
416.png,237.2536
417.png,68.551315
418.png,59.468422
419.png,75.87255
420.png,32.24747
421.png,191.66423
422.png,81.53831
423.png,72.09737
424.png,76.76006
425.png,78.283646
426.png,94.13755
427.png,68.66701
428.png,70.00613
429.png,75.45369
430.png,75.168045
431.png,77.3071
432.png,78.97411
433.png,63.9993
434.png,115.47341
435.png,74.57991
436.png,70.041306
437.png,62.229908
438.png,85.20244
439.png,67.06312
440.png,78.727356
441.png,81.254875
442.png,71.42605
443.png,62.253777
444.png,34.642418
445.png,25.575294
446.png,88.27902
447.png,62.395084
448.png,86.19979
449.png,45.649414
450.png,32.73835
451.png,75.267494
452.png,62.32791
453.png,279.5735
454.png,96.84013
455.png,83.24419
456.png,89.66532
457.png,88.443985
458.png,29.052761
459.png,35.993965
460.png,227.29912
