img_name,leaf_weight
001.png,88.80261
002.png,273.08026
003.png,9.705936
004.png,82.55971
005.png,92.80524
006.png,89.33281
007.png,10.31081
008.png,96.247795
009.png,10.019575
010.png,97.883194
011.png,9.564053
012.png,51.195847
013.png,23.117722
014.png,61.613125
015.png,21.631672
016.png,93.716286
017.png,93.62667
018.png,67.53493
019.png,97.06923
020.png,258.54086
021.png,76.481094
022.png,14.918312
023.png,10.796205
024.jpg,103.0433
025.png,93.6192
026.png,86.08441
027.png,135.9679
028.png,78.57948
029.png,100.803024
030.png,95.93415
031.png,99.167625
032.png,27.777496
033.png,10.908217
034.png,12.013421
035.png,22.087194
036.png,158.67682
037.png,12.454008
038.png,95.7176
039.png,10.086782
040.png,70.94014
041.png,100.54912
042.png,102.70726
043.png,9.668598
044.png,60.784225
045.png,92.4916
046.png,60.29137
047.png,93.88804
048.png,69.33461
049.jpg,126.498985
050.png,98.480606
051.jpg,230.30591
052.png,93.28316
053.png,99.10787
054.png,66.98232
055.png,94.76174
056.png,41.19675
057.png,91.961395
058.png,62.01638
059.png,49.321484
060.png,93.62667
061.png,11.430949
062.png,46.931854
063.png,100.750755
064.png,97.00948
065.png,99.50366
066.png,59.17123
067.png,87.51071
068.png,90.40067
069.png,129.0305
070.png,25.933002
071.png,228.92441
072.png,96.11338
073.png,95.381546
074.png,9.900093
075.png,23.819675
076.jpg,166.66714
077.png,9.743275
078.png,95.71012
079.png,92.30491
080.png,82.46262
081.png,94.09713
082.png,97.74131
083.png,20.541403
084.png,23.349216
085.png,10.400421
086.png,20.09335
087.png,67.49012
088.png,91.76724
089.png,97.11403
090.png,70.70865
091.png,99.97412
092.png,96.77052
093.png,12.476411
094.png,17.748528
095.png,59.425133
096.png,62.434563
097.jpg,110.428734
098.png,94.9783
099.png,93.56693
100.png,11.132245
101.png,253.15672
102.png,9.743275
103.png,87.43604
104.png,96.83773
105.png,9.683534
106.png,11.55043
107.png,96.63611
108.png,64.12971
109.png,11.24426
110.png,9.915029
111.jpg,99.3095
112.png,9.549117
113.png,13.730965
114.png,78.88565
115.png,91.19224
116.png,71.07456
117.png,217.12563
118.png,9.616325
119.png,64.23425
120.png,9.75821
121.jpg,183.48413
122.png,24.85767
123.png,54.324768
124.png,74.927826
125.png,60.485523
126.png,90.557495
127.png,70.26059
128.png,74.47231
129.jpg,37.276268
130.png,53.44359
131.png,29.24861
132.png,290.10635
133.png,30.525566
134.png,289.3969
135.png,107.18034
136.jpg,115.66351
137.png,9.997171
138.png,247.80994
139.png,82.171394
140.png,40.808437
141.png,85.815575
142.png,98.45073
143.png,99.70529
144.png,9.578987
145.png,36.036648
146.png,98.801704
147.png,32.765846
148.png,101.1092
149.png,86.40551
150.png,17.905346
151.jpg,80.782425
152.png,28.912567
153.png,17.15112
154.png,93.94031
155.png,55.161133
156.png,28.81549
157.png,10.333214
158.png,59.805977
159.png,87.97371
160.png,59.925457
161.png,79.46066
162.png,9.743275
163.png,9.541649
164.jpg,89.42242
165.jpg,33.18403
166.png,22.06479
167.png,13.185831
168.png,11.991017
169.png,16.665728
170.png,55.99004
171.png,59.761173
172.png,82.77627
173.png,13.820577
174.png,21.407644
175.jpg,79.99086
176.png,10.714061
177.png,101.049446
178.png,97.21111
179.png,14.42545
180.png,23.080383
181.png,190.42151
182.png,14.664413
183.jpg,107.150475
184.png,98.2043
185.png,10.378019
186.png,201.8544
187.png,17.950151
188.png,312.54642
